,bias,cells,cellswithmotif,cellswithmotif_sd,cellswithmotif_se,elong,maxstrandlen,motif,motiffreq,motiffreq_sd,motiffreq_se,nonemptystrands,nonemptystrands_sd,nonemptystrands_se,nr_samples,rounds,sampler_start,strands,trials
822,0.4,100,0.86644799999999977,0.0051665942360514328,0.00073066676399025955,0.05,7,11001,0.041167026772913534,0.00061137724037626671,8.6461798506635214e-05,0.8332716400000002,0.00097720095701961537,0.00013819708465811079,50,7000,1000,100,50
823,0.05,100,0.73563599999999996,0.0049707448134057412,0.00070296947302141187,0.05,7,11001,0.015114482480413791,0.00024964987589380156,3.5305824033377417e-05,0.83342823999999982,0.00088169587863387024,0.00012469062694524816,50,7000,1000,100,50
824,0.15,100,0.79589600000000005,0.0061899583197304389,0.0008753923006286961,0.05,7,11001,0.022692750351089044,0.00031502918616244791,4.455185476142924e-05,0.83332715999999973,0.00085906927217778168,0.00012149074157318025,50,7000,1000,100,50
825,0.25,100,0.8441200000000002,0.0066167061291854392,0.00093574355461312317,0.05,7,11001,0.033127306795188965,0.00049483964927986128,6.9980894321152552e-05,0.8333713199999998,0.00089484109069712446,0.00012654964066326061,50,7000,1000,100,50
826,0.35,100,0.86210400000000009,0.006760620089903008,0.00095609606211928468,0.05,7,11001,0.039944210082738948,0.00050080311754051169,7.0824256090451889e-05,0.83335179999999998,0.00092558722981680758,0.00013089780135662721,50,7000,1000,100,50
827,0.45,100,0.86063600000000007,0.0067336397290024066,0.00095228046288894951,0.05,7,11001,0.040474457105988633,0.00069122603142617815,9.775412283082323e-05,0.83353063999999988,0.00069121417115099529,9.775244553462152e-05,50,7000,1000,100,50
828,0.0,100,0.67230800000000002,0.0056449921169121446,0.00079832244112263632,0.05,7,11010,0.0081621658460951912,5.9131530615691827e-05,8.3624612560591272e-06,0.83327520000000033,0.0010954197003888344,0.00015491573967805618,50,7000,1000,100,50
829,0.1,100,0.76292400000000016,0.0058185757707535663,0.00082287087686951782,0.05,7,11010,0.014507005799238203,0.00022082769019505171,3.1229751442136626e-05,0.83324763999999985,0.00094786874112403425,0.00013404888290471215,50,7000,1000,100,50
830,0.2,100,0.83188399999999985,0.0058632537042157427,0.0008291892908136191,0.05,7,11010,0.025911528819197359,0.00042132995109962903,5.9585053107908831e-05,0.83335404000000013,0.0009375118977378524,0.00013258420406670089,50,7000,1000,100,50
831,0.3,100,0.86118000000000006,0.0058638212796776326,0.00082926955810520657,0.05,7,11010,0.036364190005309285,0.00054481144686409485,7.704797370913117e-05,0.83351700000000017,0.00093597514924273549,0.00013236687501032583,50,7000,1000,100,50
832,0.4,100,0.86794399999999994,0.0054953129119277664,0.00077715460495322321,0.05,7,11010,0.04071669373806093,0.00070175545942116428,9.924320881827727e-05,0.83353232000000033,0.0008716278435203415,0.00012326679176484807,50,7000,1000,100,50
833,0.05,100,0.71547599999999989,0.0054802759054631443,0.00077502805110524718,0.05,7,11010,0.010456610655000977,0.00015290350268497459,2.16238207231442e-05,0.83319480000000012,0.0010655152368690248,0.00015068660988953558,50,7000,1000,100,50
834,0.15,100,0.80196800000000001,0.0067827262955245382,0.00095922235169954235,0.05,7,11010,0.019956358860075324,0.00036714769580409144,5.1922525080017757e-05,0.83332315999999973,0.00077017380791610985,0.00010891902445394936,50,7000,1000,100,50
835,0.25,100,0.85114399999999979,0.0065882367899157942,0.0009317173820424299,0.05,7,11010,0.031709299326083552,0.00045427397872147316,6.424404217410941e-05,0.83315196000000002,0.0010091711838930099,0.00014271835750176074,50,7000,1000,100,50
836,0.35,100,0.86845199999999978,0.0067629354573291427,0.00095642350452087633,0.05,7,11010,0.03955331064331187,0.0006481517299046064,9.1662496690667752e-05,0.83306272000000003,0.0010745849252618549,0.00015196925752269938,50,7000,1000,100,50
837,0.45,100,0.86280400000000024,0.0057419843259974047,0.0008120392108759265,0.05,7,11010,0.040296173508950969,0.00052209035407809487,7.3834725952141308e-05,0.83341087999999985,0.0008800048327139915,0.00012445147693779934,50,7000,1000,100,50
838,0.0,100,0.78871999999999998,0.0060943252292604702,0.00086186773927326781,0.05,7,11011,0.025723715768665025,0.00048058249858026867,6.7964628733136465e-05,0.83323723999999988,0.00088274534402623815,0.00012483904376436097,50,7000,1000,100,50
839,0.1,100,0.93414399999999997,0.0046052213844721846,0.00065127665396511644,0.05,7,11011,0.078484231420369019,0.00092074253483404066,0.00013021265802160822,0.83320995999999992,0.00099660909006490223,0.0001409418091554094,50,7000,1000,100,50
840,0.2,100,0.94675600000000015,0.0047781653382862029,0.00067573462246653751,0.05,7,11011,0.096006607450850906,0.0011680187238306125,0.00016518279203469666,0.83352744000000045,0.00097003538409690191,0.00013718371961716331,50,7000,1000,100,50
841,0.3,100,0.93481200000000031,0.0041637310191701927,0.00058884048773840357,0.05,7,11011,0.083347768896672947,0.0011217719194326038,0.0001586425062350887,0.83343195999999975,0.00086436672680057175,0.00012223991479054082,50,7000,1000,100,50
842,0.4,100,0.90518799999999988,0.0050691869170508726,0.00071689128882976012,0.05,7,11011,0.060283534326531989,0.00074869591942946297,0.00010588159233505405,0.83335823999999992,0.0009503897844568898,0.00013440541227197761,50,7000,1000,100,50
843,0.05,100,0.89928399999999997,0.0053372787073564104,0.00075480519341085764,0.05,7,11011,0.053605201132948609,0.00060791022395935402,8.5971488342858401e-05,0.83336648000000013,0.0010672508653545184,0.00015093206482387817,50,7000,1000,100,50
844,0.15,100,0.94493599999999978,0.005178793681930167,0.00073239202617177384,0.05,7,11011,0.092092492217938457,0.0012591427886967867,0.0001780696808739276,0.83342808000000002,0.00084303109883323213,0.00011922260134722499,50,7000,1000,100,50
845,0.25,100,0.94326800000000011,0.0048463776163233298,0.00068538129533858452,0.05,7,11011,0.092228116792584386,0.0013277894897137574,0.00018777779043296469,0.83333580000000007,0.00094958485666102245,0.00013429157829141294,50,7000,1000,100,50
846,0.35,100,0.92435599999999996,0.0063137044593487334,0.00089289264752264678,0.05,7,11011,0.072713332919817908,0.00092909130278379971,0.00013139335210797371,0.83326436000000004,0.000800088964053371,0.0001131496664069317,50,7000,1000,100,50
847,0.45,100,0.88127999999999984,0.0068848819888215609,0.00097366934839296989,0.05,7,11011,0.048530944921567627,0.00064866554614764001,9.1735161280614327e-05,0.83333743999999976,0.00084817611756049342,0.00011995021687350065,50,7000,1000,100,50
848,0.0,100,0.77526800000000018,0.0049660624240941342,0.0007023072831745333,0.05,7,11100,0.0094675280485851838,6.9008342548460287e-05,9.7592533948920841e-06,0.83342127999999993,0.00098435763907233514,0.00013920919234016563,50,7000,1000,100,50
849,0.1,100,0.81405599999999989,0.0057163680777220695,0.00080841652630311693,0.05,7,11100,0.014984204327476616,0.00023622470227935489,3.3407217773101026e-05,0.83313599999999999,0.001057002932824693,0.00014948278830688184,50,7000,1000,100,50
850,0.2,100,0.85793200000000025,0.0055319595081670643,0.00078233721629486584,0.05,7,11100,0.026216514132776439,0.00033864250763578101,4.789128270945559e-05,0.83335715999999993,0.0010877163667059439,0.00015382632378107327,50,7000,1000,100,50
851,0.3,100,0.87330400000000008,0.0054417997023043403,0.0007695866942716669,0.05,7,11100,0.03618068067381635,0.00056774068876352544,8.0290658196041986e-05,0.83332376000000041,0.0011878810472433466,0.0001679917487497496,50,7000,1000,100,50
852,0.4,100,0.8721359999999998,0.0057472692646160419,0.00081278661406300511,0.05,7,11100,0.040446602356633818,0.0005816000813250316,8.2250672288715468e-05,0.83341435999999991,0.0010825750553194477,0.00015309923255195666,50,7000,1000,100,50
853,0.05,100,0.79212399999999983,0.0052154984421433634,0.00073758286314148935,0.05,7,11100,0.011195657786888221,0.00012363638957126272,1.7484825893452322e-05,0.83311492000000031,0.00097839486589006001,0.00013836592886979282,50,7000,1000,100,50
854,0.15,100,0.8393759999999999,0.0060486877915792488,0.00085541363094119379,0.05,7,11100,0.020201921344181799,0.00028863117149194697,4.0818611724754599e-05,0.83314996000000008,0.00086329837159581247,0.00012208882654854059,50,7000,1000,100,50
855,0.25,100,0.86802000000000035,0.006086345373046061,0.00086073921718484738,0.05,7,11100,0.031761337445564392,0.00045950138499727144,6.4983309059236222e-05,0.83337559999999977,0.00098441812254747622,0.00013921774599525002,50,7000,1000,100,50
856,0.35,100,0.87650400000000006,0.0054168980053162811,0.00076606506251100507,0.05,7,11100,0.039193015860130222,0.00058468068234306038,8.2686335062711138e-05,0.83341204000000002,0.00089375285084857729,0.00012639574030796758,50,7000,1000,100,50
857,0.45,100,0.86450800000000005,0.0070000239999588806,0.00098995288776790097,0.05,7,11100,0.040164522024210392,0.00062752205257587631,8.874501974410066e-05,0.8332943599999999,0.0010480215791671226,0.00014821263309178131,50,7000,1000,100,50
858,0.0,100,0.83466799999999997,0.0062443074876242614,0.00088307843366260976,0.05,7,11101,0.019220963247766641,0.00032704791253223122,4.6251559344889106e-05,0.83343771999999972,0.00081058004021811333,0.00011463332862653847,50,7000,1000,100,50
859,0.1,100,0.94715999999999989,0.0051551915580315662,0.00072905418179995273,0.05,7,11101,0.077459792753294843,0.00084600776874876275,0.00011964356604375013,0.83325296000000026,0.00086731145409244675,0.00012265636211790683,50,7000,1000,100,50
860,0.2,100,0.95378000000000018,0.0036429109239727634,0.00051518540351993853,0.05,7,11101,0.095628047975165706,0.0012751526935060357,0.00018033382332528181,0.83327640000000003,0.00088436752541011412,0.0001250684548557316,50,7000,1000,100,50
861,0.3,100,0.94060399999999988,0.0045898130680889189,0.00064909758896486154,0.05,7,11101,0.083477516547723382,0.00084206990989358504,0.0001190866687037798,0.83336451999999983,0.00095852944117538112,0.00013555653356441279,50,7000,1000,100,50
862,0.4,100,0.90904799999999997,0.005048494429035248,0.00071396492911066621,0.05,7,11101,0.059862758875773948,0.00082802824647598878,0.00011710087761943553,0.83336216000000007,0.0010504469022278116,0.00014855562556833756,50,7000,1000,100,50
863,0.05,100,0.92464000000000013,0.0043277707887548504,0.00061203921442992161,0.05,7,11101,0.050914781657509851,0.0005972101696467639,8.4458272150159041e-05,0.8335468399999999,0.00091137883144168927,0.00012888843038845799,50,7000,1000,100,50
864,0.15,100,0.95414400000000033,0.0050336531465725622,0.00071186605481649218,0.05,7,11101,0.091465934037983129,0.0011141909012775196,0.00015757038836593704,0.83339812000000013,0.0010266485599269069,0.0001451900317239439,50,7000,1000,100,50
865,0.25,100,0.95071600000000001,0.0047066064207664411,0.0006656146633000191,0.05,7,11101,0.092063364020812291,0.0013230129992758571,0.00018710229267718229,0.83316751999999994,0.00096216053213589057,0.00013607004737266906,50,7000,1000,100,50
866,0.35,100,0.92625200000000019,0.0048094590132363091,0.0006801602164196311,0.05,7,11101,0.07214207458196846,0.00076318008014679536,0.00010792996198765836,0.8332876800000002,0.0009367481932728574,0.00013247619994549682,50,7000,1000,100,50
867,0.45,100,0.88405599999999995,0.0060688107566474895,0.00085825944795266042,0.05,7,11101,0.04839436477357098,0.00066246082157683567,9.3686107841478407e-05,0.83328464000000002,0.00084573673823479657,0.00011960523654088333,50,7000,1000,100,50
868,0.0,100,0.91618399999999989,0.004901239027021595,0.00069313987044462518,0.05,7,11110,0.01181372199903576,9.5563389707891127e-05,1.3514704179124507e-05,0.83329768000000015,0.00088415811798565425,0.00012503884017375834,50,7000,1000,100,50
869,0.1,100,0.96904800000000013,0.0037190450387161842,0.00052595239328288,0.05,7,11110,0.078267070570498656,0.0008780549811261022,0.00012417572628177856,0.83342883999999984,0.00082967502939395243,0.00011733376789312238,50,7000,1000,100,50
870,0.2,100,0.96619599999999961,0.0040818603601789193,0.00057726222810781545,0.05,7,11110,0.096731497546254097,0.0011999187481739847,0.00016969413674133957,0.83343643999999995,0.00088367888194751322,0.00012497106596328662,50,7000,1000,100,50
871,0.3,100,0.94918400000000003,0.0040891739997216689,0.00057829653293098185,0.05,7,11110,0.083493523318302468,0.0010695338779099976,0.00015125493155578086,0.8332130000000002,0.00076326365038563383,0.00010794178060417597,50,7000,1000,100,50
872,0.4,100,0.91317199999999987,0.0056183997721771257,0.00079456171566467981,0.05,7,11110,0.059871977546093247,0.0008441591181326286,0.0001193821273664075,0.8333682,0.00079294047695902285,0.00011213871766700407,50,7000,1000,100,50
